gwas_phenotype	atlas	hemisphere	region	fs_name
aparc-DKTatlas_rh_volume_middletemporal	DKTatlas	rh	temporal	middletemporal
aparc-DKTatlas_rh_volume_parahippocampal	DKTatlas	rh	insula	parahippocampal
aparc-DKTatlas_rh_volume_paracentral	DKTatlas	rh	frontoparietal	paracentral
aparc-DKTatlas_rh_volume_parsopercularis	DKTatlas	rh	frontal	parsopercularis
aparc-DKTatlas_rh_volume_parsorbitalis	DKTatlas	rh	frontal	parsorbitalis
aparc-DKTatlas_rh_volume_parstriangularis	DKTatlas	rh	frontal	parstriangularis
aparc-DKTatlas_rh_volume_pericalcarine	DKTatlas	rh	occipital	pericalcarine
aparc-DKTatlas_rh_volume_postcentral	DKTatlas	rh	parietal	postcentral
aparc-DKTatlas_rh_volume_posteriorcingulate	DKTatlas	rh	cingulate	posteriorcingulate
aparc-DKTatlas_rh_volume_precentral	DKTatlas	rh	frontal	precentral
aparc-DKTatlas_rh_volume_precuneus	DKTatlas	rh	parietal	precuneus
aparc-DKTatlas_rh_volume_rostralanteriorcingulate	DKTatlas	rh	cingulate	rostralanteriorcingulate
aparc-DKTatlas_rh_volume_rostralmiddlefrontal	DKTatlas	rh	frontal	rostralmiddlefrontal
aparc-DKTatlas_rh_volume_superiorfrontal	DKTatlas	rh	frontal	superiorfrontal
aparc-DKTatlas_rh_volume_superiorparietal	DKTatlas	rh	parietal	superiorparietal
aparc-DKTatlas_rh_volume_superiortemporal	DKTatlas	rh	temporal	superiortemporal
aparc-DKTatlas_rh_volume_supramarginal	DKTatlas	rh	parietal	supramarginal
aparc-DKTatlas_rh_volume_transversetemporal	DKTatlas	rh	temporal	transversetemporal
aparc-DKTatlas_rh_volume_insula	DKTatlas	rh	insula	insula
aparc-a2009s_lh_volume_G+S-frontomargin	a2009s	lh	frontal	G_and_S_frontomargin
aparc-a2009s_lh_volume_G+S-occipital-inf	a2009s	lh	occipital	G_and_S_occipital_inf
aparc-a2009s_lh_volume_G+S-paracentral	a2009s	lh	frontoparietal	G_and_S_paracentral
aparc-a2009s_lh_volume_G+S-subcentral	a2009s	lh	frontoparietal	G_and_S_subcentral
aparc-a2009s_lh_volume_G+S-transv-frontopol	a2009s	lh	frontal	G_and_S_transv_frontopol
aparc-a2009s_lh_volume_G+S-cingul-Ant	a2009s	lh	cingulate	G_and_S_cingul-Ant
aparc-a2009s_lh_volume_G+S-cingul-Mid-Ant	a2009s	lh	cingulate	G_and_S_cingul-Mid-Ant
aparc-a2009s_lh_volume_G+S-cingul-Mid-Post	a2009s	lh	cingulate	G_and_S_cingul-Mid-Post
aparc-a2009s_lh_volume_G-cingul-Post-dorsal	a2009s	lh	cingulate	G_cingul-Post-dorsal
aparc-a2009s_lh_volume_G-cingul-Post-ventral	a2009s	lh	cingulate	G_cingul-Post-ventral
aparc-a2009s_lh_volume_G-cuneus	a2009s	lh	occipital	G_cuneus
aparc-a2009s_lh_volume_G-front-inf-Opercular	a2009s	lh	frontal	G_front_inf-Opercular
aparc-a2009s_lh_volume_G-front-inf-Orbital	a2009s	lh	frontal	G_front_inf-Orbital
aparc-a2009s_lh_volume_G-front-inf-Triangul	a2009s	lh	frontal	G_front_inf-Triangul
aparc-a2009s_lh_volume_G-front-middle	a2009s	lh	frontal	G_front_middle
aparc-a2009s_lh_volume_G-front-sup	a2009s	lh	frontal	G_front_sup
aparc-a2009s_lh_volume_G-Ins-lg+S-cent-ins	a2009s	lh	insula	G_Ins_lg_and_S_cent_ins
aparc-a2009s_lh_volume_G-insular-short	a2009s	lh	insula	G_insular_short
aparc-a2009s_lh_volume_G-occipital-middle	a2009s	lh	occipital	G_occipital_middle
aparc-a2009s_lh_volume_G-occipital-sup	a2009s	lh	occipital	G_occipital_sup
aparc-a2009s_lh_volume_G-oc-temp-lat-fusifor	a2009s	lh	occipitotemporal	G_oc-temp_lat-fusifor
aparc-a2009s_lh_volume_G-oc-temp-med-Lingual	a2009s	lh	occipitotemporal	G_oc-temp_med-Lingual
aparc-a2009s_lh_volume_G-oc-temp-med-Parahip	a2009s	lh	temporal	G_oc-temp_med-Parahip
aparc-a2009s_lh_volume_G-orbital	a2009s	lh	frontal	G_orbital
aparc-a2009s_lh_volume_G-pariet-inf-Angular	a2009s	lh	parietal	G_pariet_inf-Angular
aparc-a2009s_lh_volume_G-pariet-inf-Supramar	a2009s	lh	parietal	G_pariet_inf-Supramar
aparc-a2009s_lh_volume_G-parietal-sup	a2009s	lh	parietal	G_parietal_sup
aparc-a2009s_lh_volume_G-postcentral	a2009s	lh	parietal	G_postcentral
aparc-a2009s_lh_volume_G-precentral	a2009s	lh	frontal	G_precentral
aparc-a2009s_lh_volume_G-precuneus	a2009s	lh	parietal	G_precuneus
aparc-a2009s_lh_volume_G-rectus	a2009s	lh	frontal	G_rectus
aparc-a2009s_lh_volume_G-subcallosal	a2009s	lh	corpus callosum	G_subcallosal
aparc-a2009s_lh_volume_G-temp-sup-G-T-transv	a2009s	lh	temporal	G_temp_sup-G_T_transv
aparc-a2009s_lh_volume_G-temp-sup-Lateral	a2009s	lh	temporal	G_temp_sup-Lateral
aparc-a2009s_lh_volume_G-temp-sup-Plan-polar	a2009s	lh	temporal	G_temp_sup-Plan_polar
aparc-a2009s_lh_volume_G-temp-sup-Plan-tempo	a2009s	lh	temporal	G_temp_sup-Plan_tempo
aparc-a2009s_lh_volume_G-temporal-inf	a2009s	lh	temporal	G_temporal_inf
aparc-a2009s_lh_volume_G-temporal-middle	a2009s	lh	temporal	G_temporal_middle
aparc-a2009s_lh_volume_Lat-Fis-ant-Horizont	a2009s	lh	temporal	Lat_Fis-ant-Horizont
